id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-1023686,2016-09-09,1,Vente,108500.0,63.0,,AV DES PINS VALESCURE,2341,83700.0,83118,Saint-Raphaël,83,,,83118000AM0959,,,10.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,6.773985,43.44027
2017-93039,2017-02-13,1,Vente,360000.0,1.0,A,RUE DU CLOS BERSAT,0140,10300.0,10362,Sainte-Savine,10,,,10362000AD0365,,,,,,,,,,,,,0,2.0,Appartement,67.0,3.0,S,sols,,,87.0,4.061874,48.294788
2016-428732,2016-07-15,2,Vente,200665.0,26.0,,RUE DU DR ANDRE NESPOULOUS,1629,34300.0,34003,Agde,34,,,34003000NN0372,,,1.0,90.49,,,,,,,,,1,1.0,Maison,93.0,4.0,,,,,,3.488993,43.300637
2017-926710,2017-08-23,1,Vente,3000.0,,,BAC DEL GENIEVRE EST,B009,66460.0,66107,Maury,66,,,66107000BO0112,,,,,,,,,,,,,0,,,,,VI,vignes,,,2940.0,2.625029,42.801453
2017-362403,2017-06-15,1,Vente,1700.0,,,L HOULME,B036,30430.0,30218,Rochegude,30,,,302180000A0419,,,,,,,,,,,,,0,,,,,T,terres,,,2485.0,4.273466,44.249292
2017-672235,2017-11-22,1,Vente,200000.0,5023.0,,COLOMBIE,B052,46230.0,46013,Bach,46,,,46013000AM0181,,,,,,,,,,,,,0,1.0,Maison,40.0,2.0,S,sols,,,690.0,1.666511,44.353465
2017-1046586,2017-03-01,2,Vente,90000.0,,,LE VILLAGE DE RONCHEROLLES,B008,76160.0,76536,Roncherolles-sur-le-Vivier,76,,,765360000A1446,,,,,,,,,,,,,0,,,,,VE,vergers,,,645.0,1.174161,49.465051
2016-615537,2016-12-21,1,Vente,102203.0,,,LES JUIVERIES,I978,49500.0,49331,Segré-en-Anjou Bleu,49,,,493312770D2009,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,505.0,-0.864968,47.677718
2017-1098,2017-04-21,1,Vente,219750.0,472.0,,RTE DE PONT DE VAUX,0163,1190.0,1402,Sermoyer,1,,,01402000WB0305,,,,,,,,,,,,,0,1.0,Maison,109.0,2.0,S,sols,,,712.0,4.977036,46.489292
2016-1210409,2016-12-30,1,Vente,98882760.0,3.0,,ALL LOUIS DE BROGLIE,1550,95200.0,95585,Sarcelles,95,,,95585000AX0285,,,,,,,,,,,,,0,2.0,Appartement,50.0,3.0,S,sols,,,3803.0,2.384201,48.975816
2016-509663,2016-05-09,3,Vente,348760.0,11.0,,ALL DU BOIS DE BOULOGNE,0282,40100.0,40088,Dax,40,,,40088000CM0079,,,,,,,,,,,,,0,4.0,Local industriel. commercial ou assimilé,105.0,0.0,S,sols,,,2455.0,-1.072046,43.710794
2016-192925,2016-04-21,1,Vente,145000.0,23.0,,AV DU GENERAL DE GAULLE,0074,18390.0,18213,Saint-Germain-du-Puy,18,,,18213000AA0263,,,,,,,,,,,,,0,1.0,Maison,152.0,4.0,S,sols,,,234.0,2.485491,47.099386
